id,name,birth
1224532,"Hiroki Narimiya",1982
119532,"Stomy Bugsy",1972
533,"Gates McFadden",1949
3468534,"Jaymar Cook",1978
535,"Rose McGowan",1973
102536,"Reizl Bozyk",1914
1632536,"Dana DeLorenzo",1983
4947538,"Minami Hamabe",2000
850538,"Kazimierz Tarnas",1942
408538,"Lorenza Indovina",1966
442538,"Brian Kavanagh",1935
2006540,"Roberto Carlos",1973
476540,"Matthias Kutschmann",1970
3587540,"James William O'Halloran",1984
527542,"Adelle Lutz",1948
4709543,"Fabian Wolfrom",1991
340544,"Dahlia Grey",1972
884547,"Tonino Valerii",1934
544547,"Angela Mao",1950
799550,"Zoran Simjanovic",1946
551,"Dermot Mulroney",1963
153552,"Rodney Charters",1948
289552,"Jorge Fraga",1935
3213553,"Miumiu",1987
765553,"Russell Sarre",1963
6290555,"Mark Fischbach",1989
1156555,"Björn Thors",1978
4318557,"Kristína Greppelová",1984
557,"Brigitte Nielsen",1963
459559,"Aleksandra Klimova",1921
782561,"Emmanuelle Seigner",1966
476562,"Daniel Kuttner",1947
51565,"Stanislaw Banasiuk",1952
5763566,"Michaela Bendulová",1993
867566,"Bas van Toor",1935
1768567,"Laird Cody Fenwick",1962
1292567,"Emma Hallin Schureck",1979
493569,"Mary Layne",1950
918572,"Arabella Weir",1957
2499572,"Tam Dalyell",1932
255572,"Kate Elphick",1976
1938574,"Jimena Monteoliva",1974
2873574,"Lalo Alcaraz",1964
272575,"Phoebe Ferguson",1993
1785575,"Jaime Winstone",1985
442576,"Patrick Kavanagh",1931
577,"George Peppard",1928
1615577,"Ted Homer",1977
1547579,"David Paterson",1966
3060580,"Omar Rabuñal",1978
1921581,"Semeli Economou",1976
595582,"Patricia Moffatt",1930
408583,"Tobias Ineichen",1964
697584,"Igor Primissky",1950
1513584,"João Catarré",1980
585,"Robert Picardo",1953
2584586,"Simona Vogel",1983
119586,"Glenn Buhr",1954
408587,"Irene Inescort",1928
102587,"Cristel Braak",1960
374589,"Robert Heinz",1948
589,"Eve Plumb",1958
527589,"Luc Lutz",1924
4726590,"Pascual Reyes",1976
459591,"Peter Bratusa",1962
102593,"Camilla Braaksma",1953
3332595,"Carlo Martini",1954
596,"Jonathan Pryce",1947
597,"Bill Pullman",1953
8058597,"Sanford Bishop",1947
17598,"Kate Alderton",1973
2941598,"Martin Niemöller",1892
442598,"Dorrie Kavanaugh",1945
391600,"Clare Holman",1964
600,"Sam Raimi",1959
102602,"Oskar Braaten",1881
119603,"Anne Cathrin Buhtz",1973
680603,"Mackenzie Phillips",1959
